!
!Date: 09/26/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
YDL034W	YDL034W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL041W	YDL041W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL050C	YDL050C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL057W	YDL057W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL062W	YDL062W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL068W	YDL068W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL071C	YDL071C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL085C-A	YDL085C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDL086W	YDL086W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL094C	YDL094C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL109C	YDL109C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL109C	YDL109C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDL114W	YDL114W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDL114W	YDL114W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL118W	YDL118W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL121C	YDL121C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL124W	YDL124W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL124W	YDL124W	viable 	classical genetics	classical genetics	null	S288C			Petrash JM, et al. (2001) PMID:11306085
YDL129W	YDL129W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL144C	YDL144C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL157C	YDL157C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL158C	YDL158C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL159W-A	YDL159W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDL162C	YDL162C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDL162C	YDL162C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL172C	YDL172C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL176W	YDL176W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL177C	YDL177C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL180W	YDL180W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDL180W	YDL180W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL183C	YDL183C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL183C	YDL183C	viable 	classical genetics	classical genetics	null	S288C			Volckaert G, et al. (2003) PMID:12489128
YDL186W	YDL186W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDL186W	YDL186W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL187C	YDL187C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL199C	YDL199C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL206W	YDL206W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL211C	YDL211C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL218W	YDL218W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL241W	YDL241W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDL242W	YDL242W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR003W-A	YDR003W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDR008C	YDR008C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR010C	YDR010C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR015C	YDR015C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDR015C	YDR015C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR015C	YDR015C	viable 	classical genetics	classical genetics	null	W303			Dardalhon M, et al. (2000) PMID:10649455
YDR015C	YDR015C	viable 	classical genetics	classical genetics	null	S288C			Dardalhon M, et al. (2000) PMID:10649455
YDR018C	YDR018C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR018C	YDR018C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDR018C	YDR018C	viable 	classical genetics	classical genetics	null	W303			Dardalhon M, et al. (2000) PMID:10649455
YDR018C	YDR018C	viable 	classical genetics	classical genetics	null	S288C			Dardalhon M, et al. (2000) PMID:10649455
YDR029W	YDR029W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR034W-B	YDR034W-B	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDR042C	YDR042C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDR042C	YDR042C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR048C	YDR048C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR061W	YDR061W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR090C	YDR090C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR094W	YDR094W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR095C	YDR095C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR102C	YDR102C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR109C	YDR109C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR114C	YDR114C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR124W	YDR124W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR131C	YDR131C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR132C	YDR132C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR133C	YDR133C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR134C	YDR134C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR149C	YDR149C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR154C	YDR154C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR157W	YDR157W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR169C-A	YDR169C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDR182W-A	YDR182W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDR186C	YDR186C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR193W	YDR193W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR194W-A	YDR194W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDR199W	YDR199W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR203W	YDR203W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR209C	YDR209C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR210W	YDR210W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR215C	YDR215C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR220C	YDR220C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR220C	YDR220C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDR222W	YDR222W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR230W	YDR230W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR239C	YDR239C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR246W-A	YDR246W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDR248C	YDR248C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR249C	YDR249C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR250C	YDR250C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR250C	YDR250C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDR262W	YDR262W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR269C	YDR269C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR271C	YDR271C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR274C	YDR274C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR278C	YDR278C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR286C	YDR286C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR290W	YDR290W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR306C	YDR306C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR338C	YDR338C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR340W	YDR340W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR344C	YDR344C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR391C	YDR391C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR401W	YDR401W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR415C	YDR415C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR426C	YDR426C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR431W	YDR431W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR433W	YDR433W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR442W	YDR442W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR445C	YDR445C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR455C	YDR455C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR467C	YDR467C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR476C	YDR476C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR491C	YDR491C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR491C	YDR491C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YDR509W	YDR509W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR514C	YDR514C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR514C	YDR514C	viable 	classical genetics	classical genetics	null	S288C			Stevenson LF, et al. (2001) PMID:11274415
YDR521W	YDR521W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR524C-B	YDR524C-B	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDR524W-C	YDR524W-C	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YDR535C	YDR535C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR537C	YDR537C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YDR541C	YDR541C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEA4	YEL004W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEA6	YEL006W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEF1	YEL041W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEF1	YEL041W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YEF1	YEL041W	viable 	classical genetics	classical genetics	null	S288C			Outten CE and Culotta VC (2003) PMID:12727869
YEH1	YLL012W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEH1	YLL012W	viable 	classical genetics	classical genetics	null	Other			Koffel R, et al. (2005) PMID:15713625
YEH2	YLR020C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEH2	YLR020C	viable 	classical genetics	classical genetics	null	S288C			Muellner H, et al. (2005) PMID:15632184
YEL008W	YEL008W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL010W	YEL010W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL014C	YEL014C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL023C	YEL023C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL023C	YEL023C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YEL025C	YEL025C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL028W	YEL028W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL043W	YEL043W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL045C	YEL045C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL067C	YEL067C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL068C	YEL068C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEL1	YBL060W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEN1	YER041W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YEN1	YER041W	viable 	classical genetics	classical genetics	null	Other			Johnson RE, et al. (1998) PMID:9683672
YER010C	YER010C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER034W	YER034W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER039C-A	YER039C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER053C-A	YER053C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YER076C	YER076C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YER079W	YER079W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER084W	YER084W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER084W	YER084W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YER085C	YER085C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER085C	YER085C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YER091C-A	YER091C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER097W	YER097W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER119C-A	YER119C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER121W	YER121W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER134C	YER134C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER135C	YER135C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER137C	YER137C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER152C	YER152C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER156C	YER156C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER158C	YER158C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER175W-A	YER175W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YER181C	YER181C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER186C	YER186C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER187W	YER187W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YER188W	YER188W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YET1	YKL065C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YET2	YMR040W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YET3	YDL072C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFH1	YDL120W	viable 	classical genetics	classical genetics	null	Other			Wilson RB and Roof DM (1997) PMID:9241271
YFH7	YFR007W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFL012W	YFL012W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YFL012W-A	YFL012W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFL015C	YFL015C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFL019C	YFL019C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFL032W	YFL032W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFL040W	YFL040W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFL040W	YFL040W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YFL041W-A	YFL041W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YFL051C	YFL051C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFR006W	YFR006W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFR012W-A	YFR012W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YFR016C	YFR016C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFR018C	YFR018C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFR018C	YFR018C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YFR032C-B	YFR032C-B	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YFR035C	YFR035C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFR045W	YFR045W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFR054C	YFR054C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFR056C	YFR056C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFR057W	YFR057W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YFT2	YDR319C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGK3	YOL128C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL006W-A	YGL006W-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YGL007C-A	YGL007C-A	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YGL015C	YGL015C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL015C	YGL015C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YGL024W	YGL024W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL034C	YGL034C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL036W	YGL036W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL039W	YGL039W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL041C	YGL041C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL041C-B	YGL041C-B	viable 	systematic mutation set	large-scale survey	null	S288C			Kastenmayer JP, et al. (2006) PMID:16510898
YGL042C	YGL042C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL072C	YGL072C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL081W	YGL081W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL081W	YGL081W	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YGL081W	YGL081W	viable 	classical genetics	classical genetics	null	Other			Huang M and Elledge SJ (2000) PMID:12760057
YGL082W	YGL082W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL088W	YGL088W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL101W	YGL101W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL101W	YGL101W	viable 	classical genetics	classical genetics	null				Lillo JA, et al. (2000) PMID:10669874
YGL108C	YGL108C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL109W	YGL109W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL114W	YGL114W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL114W	YGL114W	viable 	classical genetics	classical genetics	null				Pearson BM and Schweizer M (2002) PMID:11788967
YGL117W	YGL117W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL118C	YGL118C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL132W	YGL132W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL138C	YGL138C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL138C	YGL138C	viable 	homozygous diploid, systematic mutation set	large-scale survey	null	SK1			Rabitsch KP, et al. (2001) PMID:11470404
YGL138C	YGL138C	viable 	classical genetics	classical genetics	null	CEN.PK			Escribano MV and Mazon MJ (2000) PMID:10806424
YGL138C	YGL138C	viable 	classical genetics	classical genetics	null	S288C			Escribano MV and Mazon MJ (2000) PMID:10806424
YGL140C	YGL140C	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
YGL140C	YGL140C	viable 	classical genetics	classical genetics	null	S288C			Volckaert G, et al. (2003) PMID:12489128
YGL149W	YGL149W	viable 	systematic mutation set	large-scale survey	null	S288C			Giaever G, et al. (2002) PMID:12140549
